Date,Ticker,Shares,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-06-30,ABEO,6.0,5.77,4.9,5.68,34.08,-0.54,HOLD,,
2025-06-30,CADL,5.0,5.04,4.03,5.06,25.3,0.1,HOLD,,
2025-06-30,CSAI,15.0,1.9,1.45,2.21,33.15,4.65,HOLD,,
2025-06-30,TOTAL,,,,,92.53,4.21,,11.68,104.21
2025-07-01,ABEO,6.0,5.77,4.9,5.57,33.42,-1.2,HOLD,,
2025-07-01,CADL,5.0,5.04,4.03,4.85,24.25,-0.95,HOLD,,
2025-07-01,CSAI,15.0,1.9,1.45,2.06,30.9,2.4,HOLD,,
2025-07-01,TOTAL,,,,,88.57,0.25,,11.68,100.25
2025-07-02,ABEO,6.0,5.77,4.9,5.87,35.22,0.6,HOLD,,
2025-07-02,CADL,5.0,5.04,4.03,4.99,24.95,-0.25,HOLD,,
2025-07-02,CSAI,15.0,1.9,1.45,2.3,34.5,6.0,HOLD,,
2025-07-02,TOTAL,,,,,94.67,6.35,,11.68,106.35
2025-07-03,ABEO,6.0,5.77,4.9,5.89,35.34,0.72,HOLD,,
2025-07-03,CADL,5.0,5.04,4.03,5.1,25.5,0.3,HOLD,,
2025-07-03,CSAI,15.0,1.9,1.45,2.28,34.2,5.7,HOLD,,
2025-07-03,TOTAL,,,,,95.04,6.72,,11.68,106.72
2025-07-07,ABEO,6.0,5.77,4.9,5.75,34.5,-0.12,HOLD,,
2025-07-07,CADL,5.0,5.04,4.03,4.99,24.95,-0.25,HOLD,,
2025-07-07,AZTR,55.0,0.25,0.18,0.24,13.2,-0.55,HOLD,,
2025-07-07,TOTAL,,,,,72.65,-0.92,,32.13,104.78
2025-07-08,ABEO,6.0,5.77,4.9,5.84,35.04,0.42,HOLD,,
2025-07-08,CADL,5.0,5.04,4.03,5.24,26.2,1.0,HOLD,,
2025-07-08,AZTR,55.0,0.25,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-08,TOTAL,,,,,73.89,0.32,,32.13,106.02
2025-07-09,ABEO,6.0,5.77,4.9,5.83,34.98,0.36,HOLD,,
2025-07-09,CADL,5.0,5.04,4.03,6.09,30.45,5.25,HOLD,,
2025-07-09,AZTR,55.0,0.25,0.18,0.25,13.75,0.0,HOLD,,
2025-07-09,IINN,20.0,1.5,1.1,1.44,28.8,-1.2,HOLD,,
2025-07-09,TOTAL,,,,,107.98,4.41,,2.32,110.3
2025-07-10,ABEO,6.0,5.77,4.9,5.85,35.1,0.48,HOLD,,
2025-07-10,CADL,5.0,5.04,4.03,6.15,30.75,5.55,HOLD,,
2025-07-10,AZTR,55.0,0.25,0.18,0.25,13.75,0.0,HOLD,,
2025-07-10,IINN,20.0,1.5,1.1,1.37,27.4,-2.6,HOLD,,
2025-07-10,TOTAL,,,,,107.0,3.43,,2.32,109.32
2025-07-11,ABEO,6.0,5.77,4.9,5.74,34.44,-0.18,HOLD,,
2025-07-11,CADL,5.0,5.04,4.03,5.81,29.05,3.85,HOLD,,
2025-07-11,AZTR,55.0,0.25,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-11,IINN,20.0,1.5,1.1,1.2,24.0,-6.0,HOLD,,
2025-07-11,TOTAL,,,,,100.14,-3.43,,2.32,102.46
2025-07-14,ABEO,6.0,5.77,4.9,5.92,35.52,0.9,HOLD,,
2025-07-14,CADL,5.0,5.04,4.03,6.43,32.15,6.95,HOLD,,
2025-07-14,AZTR,55.0,0.25,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-14,IINN,20.0,1.5,1.1,1.4,28.0,-2.0,HOLD,,
2025-07-14,TOTAL,,,,,108.32,4.75,,2.32,110.64
2025-07-15,ABEO,6.0,5.77,4.9,5.95,35.7,1.08,HOLD,,
2025-07-15,CADL,5.0,5.04,4.03,6.25,31.25,6.05,HOLD,,
2025-07-15,AZTR,55.0,0.25,0.18,0.22,12.1,-1.65,HOLD,,
2025-07-15,IINN,20.0,1.5,1.1,1.34,26.8,-3.2,HOLD,,
2025-07-15,TOTAL,,,,,105.85,2.28,,2.32,108.17
2025-07-16,ABEO,6.0,5.77,4.9,6.26,37.56,2.94,HOLD,,
2025-07-16,CADL,5.0,5.04,4.03,6.85,34.25,9.05,HOLD,,
2025-07-16,AZTR,55.0,0.25,0.18,0.24,13.2,-0.55,HOLD,,
2025-07-16,IINN,20.0,1.5,1.1,1.37,27.4,-2.6,HOLD,,
2025-07-16,TOTAL,,,,,112.41,8.84,,2.32,114.73
2025-07-17,ABEO,6.0,5.77,4.9,6.63,39.78,5.16,HOLD,,
2025-07-17,CADL,5.0,5.04,4.03,6.92,34.6,9.4,HOLD,,
2025-07-17,AZTR,55.0,0.25,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-17,IINN,20.0,1.5,1.1,1.47,29.4,-0.6,HOLD,,
2025-07-17,TOTAL,,,,,116.43,12.86,,2.32,118.75
