FreePhysicalMemory NumberOfProcesses
FreePhysicalMemory : 6061632
FreePhysicalMemory : 7538132
FreePhysicalMemory : 7539248
FreePhysicalMemory : 7267008
FreePhysicalMemory : 7257028
FreePhysicalMemory : 6796852
FreePhysicalMemory : 6771952
FreePhysicalMemory : 8388920
FreePhysicalMemory : 9029768
FreePhysicalMemory : 11167832
FreePhysicalMemory : 11619460
FreePhysicalMemory : 11838904
FreePhysicalMemory : 11892080
FreePhysicalMemory : 11808500
FreePhysicalMemory : 11916304
FreePhysicalMemory : 12256468
FreePhysicalMemory : 12362144
FreePhysicalMemory : 12378328
FreePhysicalMemory : 12400140
FreePhysicalMemory : 12434320
FreePhysicalMemory : 12438332
FreePhysicalMemory : 12418180
FreePhysicalMemory : 12412808
FreePhysicalMemory : 12424064
FreePhysicalMemory : 12430460
FreePhysicalMemory : 12640128
FreePhysicalMemory : 12678844
FreePhysicalMemory : 12581140
FreePhysicalMemory : 11165820
FreePhysicalMemory : 8116612
FreePhysicalMemory : 8094420
FreePhysicalMemory : 8076464
FreePhysicalMemory : 7953432
FreePhysicalMemory : 4841144
FreePhysicalMemory : 3862460
FreePhysicalMemory : 3857596
FreePhysicalMemory : 3849676
FreePhysicalMemory : 3742524
FreePhysicalMemory : 3564052
FreePhysicalMemory : 3446448
FreePhysicalMemory : 3031732
FreePhysicalMemory : 2511736
FreePhysicalMemory : 2153436
FreePhysicalMemory : 2864828
FreePhysicalMemory : 5415080
FreePhysicalMemory : 7144924
FreePhysicalMemory : 9739032
FreePhysicalMemory : 9752808
FreePhysicalMemory : 11502336
FreePhysicalMemory : 11203816
FreePhysicalMemory : 11341936
FreePhysicalMemory : 11337852
FreePhysicalMemory : 11178884
FreePhysicalMemory : 11034400
FreePhysicalMemory : 11582568
FreePhysicalMemory : 11803060
FreePhysicalMemory : 11841568
FreePhysicalMemory : 11815876
FreePhysicalMemory : 11878320
FreePhysicalMemory : 11893212
FreePhysicalMemory : 12834888
FreePhysicalMemory : 13192772
FreePhysicalMemory : 13200720
FreePhysicalMemory : 13163352
FreePhysicalMemory : 13437960
FreePhysicalMemory : 13472548
FreePhysicalMemory : 13400556
FreePhysicalMemory : 13405192
FreePhysicalMemory : 13405836
FreePhysicalMemory : 13357124
FreePhysicalMemory : 13022112
FreePhysicalMemory : 8844396
FreePhysicalMemory : 8975196
FreePhysicalMemory : 12451296
FreePhysicalMemory : 11941108
FreePhysicalMemory : 11691060
FreePhysicalMemory : 11211720
FreePhysicalMemory : 11115076
FreePhysicalMemory : 10869564
FreePhysicalMemory : 9971552
FreePhysicalMemory : 5906500
FreePhysicalMemory : 5993360
FreePhysicalMemory : 1785788
FreePhysicalMemory : 1641620
FreePhysicalMemory : 5893460
FreePhysicalMemory : 5848344
FreePhysicalMemory : 8016808
FreePhysicalMemory : 8015216
FreePhysicalMemory : 7926132
FreePhysicalMemory : 7909128
FreePhysicalMemory : 10870184
FreePhysicalMemory : 13235812
FreePhysicalMemory : 13259232
FreePhysicalMemory : 13282432
FreePhysicalMemory : 13275440
FreePhysicalMemory : 13323140
FreePhysicalMemory : 14050000
FreePhysicalMemory : 14144436
FreePhysicalMemory : 14151968
FreePhysicalMemory : 14260804
FreePhysicalMemory : 14262580
FreePhysicalMemory : 14255644
FreePhysicalMemory : 14169032
FreePhysicalMemory : 14141220
FreePhysicalMemory : 14235680
FreePhysicalMemory : 14233648
FreePhysicalMemory : 14246440
FreePhysicalMemory : 14222192
FreePhysicalMemory : 14241488
FreePhysicalMemory : 14247776
FreePhysicalMemory : 14274836
FreePhysicalMemory : 14459772
FreePhysicalMemory : 14469284
FreePhysicalMemory : 14475616
FreePhysicalMemory : 14422792
FreePhysicalMemory : 14038316
FreePhysicalMemory : 13702456
FreePhysicalMemory : 14318848
FreePhysicalMemory : 14443784
FreePhysicalMemory : 14463452
FreePhysicalMemory : 14462908
FreePhysicalMemory : 14463376
