full_path, group_path, leaf_name, type (group | element | filler), redefine_group, pic, store, value, alternative_id, depth

SAMPLE-REC/ACCOUNT-PLAIN/CUSTOMER-ID,SAMPLE-REC/ACCOUNT-PLAIN,CUSTOMER-ID,element,,X(10),,,0,3
SAMPLE-REC/ACCOUNT-PLAIN/CUSTOMER-NAME,SAMPLE-REC/ACCOUNT-PLAIN,CUSTOMER-NAME,element,,X(20),,,0,3

SAMPLE-REC/ACCOUNT-PLAIN/ACCOUNT-NUMBER,SAMPLE-REC/ACCOUNT-PLAIN,ACCOUNT-NUMBER,element,,9(9),,,A,3
SAMPLE-REC/ACCOUNT-PLAIN/ACCOUNT-NUMBER-ALPHA,SAMPLE-REC/ACCOUNT-PLAIN,ACCOUNT-NUMBER-ALPHA,element,,X(9),,,A,3

SAMPLE-REC/ACCOUNT-PLAIN/BALANCE,SAMPLE-REC/ACCOUNT-PLAIN,BALANCE,element,,S9(7)V99,COMP-3,,0,3


SAMPLE-REC/ACCOUNT-LINK/ACC-ONLINE-KEY/ACC-CONTROL/FIELD1,SAMPLE-REC/ACCOUNT-LINK/FIELD1,FIELD1,element,,XX,,,0,5
SAMPLE-REC/ACCOUNT-LINK/ACC-ONLINE-KEY/ACC-CONTROL/FIELD2,SAMPLE-REC/ACCOUNT-LINK/FIELD2,FIELD2,element,,XXX,,,0,5
SAMPLE-REC/ACCOUNT-LINK/ACC-ONLINE-KEY/ACC-CONTROL/FIELD3,SAMPLE-REC/ACCOUNT-LINK/FIELD3,FIELD3,element,,X(10),,,0,5

SAMPLE-REC/ACCOUNT-LINK/SOMETHING/NUM_DAYS,SAMPLE-REC/ACCOUNT-LINK/NUM_DAYS,NUM_DAYS,element,,S999,COMP-3,,1,5


SAMPLE-REC/ACCOUNT-FIXED/ACC3-FIXED1,SAMPLE-REC/ACCOUNT-FIXED,ACC3-FIXED1,element,,,,"01",0,3
SAMPLE-REC/ACCOUNT-FIXED/ACC3-FIXED2,SAMPLE-REC/ACCOUNT-FIXED,ACC3-FIXED2,element,,,,"C",0,3
SAMPLE-REC/ACCOUNT-FIXED/ACC3-FIXED3,SAMPLE-REC/ACCOUNT-FIXED,ACC3-FIXED3,element,,,,"E",0,3
SAMPLE-REC/ACCOUNT-FIXED/FILLER,SAMPLE-REC/ACCOUNT-FIXED,FILLER,filler,,X,,,,3
